id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
735,Asteroid Collision,0,Medium,7,559,70
166,Fraction to Recurring Decimal,0,Medium,0,556,1230
904,Fruit Into Baskets,0,Medium,0,548,846
426,Convert Binary Search Tree to Sorted Doubly Linked List,1,Medium,8,544,64
769,Max Chunks To Make Sorted,0,Medium,6,542,90
894,All Possible Full Binary Trees,0,Medium,10,530,49
187,Repeated DNA Sequences,0,Medium,2,520,209
636,Exclusive Time of Functions,0,Medium,0,518,842
71,Simplify Path,0,Medium,0,517,1368
535,Encode and Decode TinyURL,0,Medium,0,516,1133
430,Flatten a Multilevel Doubly Linked List,0,Medium,5,507,86
201,Bitwise AND of Numbers Range,0,Medium,7,505,67
648,Replace Words,0,Medium,4,502,115
526,Beautiful Arrangement,0,Medium,4,497,121
752,Open the Lock,0,Medium,18,493,26
986,Interval List Intersections,0,Medium,24,490,20
491,Increasing Subsequences,0,Medium,5,489,91
889,Construct Binary Tree from Preorder and Postorder Traversal,0,Medium,16,487,30
797,All Paths From Source to Target,0,Medium,11,487,41
490,The Maze,1,Medium,10,486,48
419,Battleships in a Board,0,Medium,1,486,367
388,Longest Absolute File Path,0,Medium,0,486,1031
323,Number of Connected Components in an Undirected Graph,1,Medium,28,486,17
950,Reveal Cards In Increasing Order,0,Medium,5,484,96
688,Knight Probability in Chessboard,0,Medium,4,482,103
370,Range Addition,1,Medium,29,479,16
791,Custom Sort String,0,Medium,3,476,146
694,Number of Distinct Islands,1,Medium,15,476,30
348,Design Tic-Tac-Toe,1,Medium,14,476,34
1011,Capacity To Ship Packages Within D Days,0,Medium,31,473,15
873,Length of Longest Fibonacci Subsequence,0,Medium,22,468,21
280,Wiggle Sort,1,Medium,9,465,48
701,Insert into a Binary Search Tree,0,Medium,8,464,53
865,Smallest Subtree with all the Deepest Nodes,0,Medium,3,461,137
161,One Edit Distance,1,Medium,5,460,91
890,Find and Replace Pattern,0,Medium,9,458,48
254,Factor Combinations,1,Medium,22,456,20
89,Gray Code,0,Medium,0,455,1311
274,H-Index,0,Medium,0,448,773
802,Find Eventual Safe States,0,Medium,6,446,67
776,Split BST,1,Medium,16,443,27
508,Most Frequent Subtree Sum,0,Medium,4,443,90
549,Binary Tree Longest Consecutive Sequence II,1,Medium,16,440,26
974,Subarray Sums Divisible by K,0,Medium,10,439,40
228,Summary Ranges,0,Medium,1,437,428
255,Verify Preorder Sequence in Binary Search Tree,1,Medium,9,435,45
731,My Calendar II,0,Medium,6,431,67
333,Largest BST Subtree,1,Medium,9,431,47
313,Super Ugly Number,0,Medium,3,431,110
729,My Calendar I,0,Medium,14,430,29
498,Diagonal Traverse,0,Medium,1,429,257
467,Unique Substrings in Wraparound String,0,Medium,6,428,70
386,Lexicographical Numbers,0,Medium,6,426,62
382,Linked List Random Node,0,Medium,3,426,133
259,3Sum Smaller,1,Medium,12,423,34
725,Split Linked List in Parts,0,Medium,4,419,86
505,The Maze II,1,Medium,26,417,16
147,Insertion Sort List,0,Medium,0,417,475
676,Implement Magic Dictionary,0,Medium,3,416,106
877,Stone Game,0,Medium,0,414,703
556,Next Greater Element III,0,Medium,3,414,133
362,Design Hit Counter,1,Medium,9,413,42
487,Max Consecutive Ones II,1,Medium,68,412,6
918,Maximum Sum Circular Subarray,0,Medium,18,410,22
638,Shopping Offers,0,Medium,1,408,366
959,Regions Cut By Slashes,0,Medium,4,399,86
1110,Delete Nodes And Return Forest,0,Medium,39,397,10
795,Number of Subarrays with Bounded Maximum,0,Medium,10,392,37
837,New 21 Game,0,Medium,1,389,203
462,Minimum Moves to Equal Array Elements II,0,Medium,11,389,35
855,Exam Room,0,Medium,2,388,173
845,Longest Mountain in Array,0,Medium,25,387,15
524,Longest Word in Dictionary through Deleting,0,Medium,1,387,195
958,Check Completeness of a Binary Tree,0,Medium,48,384,8
681,Next Closest Time,1,Medium,0,384,604
364,Nested List Weight Sum II,1,Medium,4,383,93
529,Minesweeper,0,Medium,1,382,372
1004,Max Consecutive Ones III,0,Medium,54,380,7
875,Koko Eating Bananas,0,Medium,10,380,36
926,Flip String to Monotone Increasing,0,Medium,29,379,13
473,Matchsticks to Square,0,Medium,9,379,42
1008,Construct Binary Search Tree from Preorder Traversal,0,Medium,26,377,14
934,Shortest Bridge,0,Medium,13,377,29
582,Kill Process,1,Medium,46,374,8
921,Minimum Add to Make Parentheses Valid,0,Medium,12,370,29
939,Minimum Area Rectangle,0,Medium,5,368,69
981,Time Based Key-Value Store,0,Medium,7,366,50
616,Add Bold Tag in String,1,Medium,9,366,38
528,Random Pick with Weight,0,Medium,0,365,674
298,Binary Tree Longest Consecutive Sequence,1,Medium,4,364,91
418,Sentence Screen Fitting,1,Medium,1,363,187
838,Push Dominoes,0,Medium,8,352,44
